06 28 47 58 59 18,2
02 10 50 59 61 06,3
08 09 18 48 52 06,2
08 23 37 52 63 13,2
15 32 36 48 64 19,3
03 10 15 33 42 11,2
08 10 21 41 62 07,3
05 16 27 39 61 24,2
02 15 38 54 65 11,4
08 14 33 36 67 17,2
03 18 37 51 59 13,2
20 21 36 60 65 13,10
06 12 39 48 50 07,2
27 29 45 55 58 02,3
02 06 24 51 61 01,2
03 25 44 53 64 10,2
10 40 45 56 67 02,2
08 32 55 64 66 10,2
40 43 48 59 69 19,3
08 15 26 35 45 09,3
08 30 48 57 64 09,2
05 23 28 43 56 19,2
10 30 51 57 63 20,2
30 31 41 42 48 03,3
12 17 30 45 62 05,2
28 38 42 47 52 01,2
22 23 37 62 63 19,3
05 36 39 45 57 11,2
20 31 38 40 49 21,2
32 35 40 52 54 01,5
12 22 26 46 59 26,2
16 28 36 39 59 04,2
06 21 49 65 67 18,2
07 24 36 54 60 23,2
01 21 22 34 47 04,2
01 04 11 59 67 10,2
15 22 38 54 66 03,2
01 05 29 54 62 03,2
26 40 41 55 65 24,2
08 31 39 43 60 17,3
04 22 35 38 39 20,2
08 25 34 38 41 10,3
44 52 54 64 69 26,3
11 13 22 27 46 20,2
03 19 27 37 40 08,2
04 10 37 39 69 24,3
12 17 20 21 26 08,3
35 36 47 61 63 03,3
22 36 48 59 61 22,3
10 21 26 41 49 25,2
14 16 23 50 53 03,3
01 12 17 39 53 05,2
06 14 38 39 65 06,3
01 06 22 42 61 04,3
05 11 51 56 61 02,2
11 31 50 52 58 18,4
02 28 31 44 52 18,3
04 08 22 32 58 04,10
20 28 33 63 68 20,2
01 16 48 49 65 08,2
01 02 07 52 61 04,3
05 08 17 27 28 14,3
14 20 39 65 67 02,3
14 26 38 45 46 13,2
03 04 11 41 67 05,2
10 24 27 35 53 18,2
27 32 34 43 52 13,2
17 54 56 63 69 20,2
03 04 06 48 53 10,2
08 12 18 44 51 18,2
51 54 57 60 69 11,2
07 15 18 32 45 20,2
14 16 37 48 58 18,2
02 06 40 42 55 24,3
18 20 27 45 65 06,2
06 10 31 37 44 23,2
05 18 23 40 50 18,3
18 31 36 43 47 20,2
11 21 27 36 62 24,3
11 14 23 47 57 14,4
16 17 20 53 67 04,2
15 21 22 27 47 07,2
05 21 22 29 43 10,2
19 30 36 42 66 14,3
05 12 34 45 56 03,3
02 03 14 40 51 24,3
06 25 36 43 48 24,3
05 21 36 61 62 18,2
13 16 32 58 59 09,2
14 19 61 62 64 04,2
16 21 27 60 61 06,2
09 36 49 56 62 08,2
10 31 41 63 67 05,3
02 12 32 50 65 05,3
01 17 38 68 69 18,2
13 32 41 58 60 14,2
02 08 18 21 23 16,4
08 12 26 39 42 11,2
12 18 42 48 65 19,5
13 16 33 58 68 24,5
01 03 21 47 57 18,2
